date,adjclose
2025-05-28,579.575745
2025-05-29,581.863586
2025-05-30,581.212708
2025-06-02,584.486633
2025-06-03,587.819763
2025-06-04,587.661926
2025-06-05,584.821899
2025-06-06,590.827454
2025-06-09,591.359863
2025-06-10,594.712830
2025-06-11,593.016602
2025-06-12,595.373474
2025-06-13,588.717102
2025-06-16,594.318359
2025-06-17,589.239807
2025-06-18,589.151001
2025-06-20,587.767395
2025-06-23,593.572998
2025-06-24,600.130371
2025-06-25,600.466675
2025-06-26,605.164612
2025-06-27,608.171265
2025-06-30,611.079041
2025-07-01,610.881287
2025-07-02,613.650635
2025-07-03,618.487000
2025-07-07,613.878052
2025-07-08,613.541809
2025-07-09,617.221008
2025-07-10,618.961792
2025-07-11,616.785828
2025-07-14,617.962769
2025-07-15,615.322083
2025-07-16,617.379272
2025-07-17,621.157410
2025-07-18,620.702454
2025-07-21,621.879395
2025-07-22,621.968445
2025-07-23,627.259766
2025-07-24,627.467468
2025-07-25,630.118103
2025-07-28,629.959900
2025-07-29,628.298279
2025-07-30,627.507019
2025-07-31,625.153076
2025-08-01,614.906555
2025-08-04,624.253052
2025-08-05,621.088135
2025-08-06,625.845520
2025-08-07,625.321289
2025-08-08,630.197205
2025-08-11,628.950989
2025-08-12,635.646790
2025-08-13,637.822754
2025-08-14,637.882080
2025-08-15,636.388672
2025-08-18,636.250183
2025-08-19,632.798401
2025-08-20,631.117065
2025-08-21,628.585083
2025-08-22,638.238098
2025-08-25,635.429260
2025-08-26,638.089722
2025-08-27,639.543701
2025-08-28,641.808594
2025-08-29,637.980957
2025-09-02,633.253357
2025-09-03,636.685303
2025-09-04,642.006409
2025-09-05,640.146912
2025-09-08,641.719604
2025-09-09,643.203186
2025-09-10,645.062500
2025-09-11,650.423096
2025-09-12,650.205566
2025-09-15,653.667114
2025-09-16,652.767090
2025-09-17,651.956116
2025-09-18,655.002380
2025-09-19,658.246521
2025-09-22,661.360718
2025-09-23,657.760559
2025-09-24,655.667847
2025-09-25,652.642944
2025-09-26,656.381897
2025-09-29,658.226685
2025-09-30,660.706055
2025-10-01,662.957458
2025-10-02,663.721069
2025-10-03,663.711304
2025-10-06,666.091492
2025-10-07,663.622009
2025-10-08,667.579163
2025-10-09,665.645203
2025-10-10,647.654236
2025-10-13,657.591919
2025-10-14,656.788574
2025-10-15,659.704407
2025-10-16,655.211670
2025-10-17,658.930847
2025-10-20,665.784058
2025-10-21,665.774109
2025-10-22,662.312744
2025-10-23,666.240295
2025-10-24,671.685181
2025-10-27,679.609497
2025-10-28,681.414551
2025-10-29,681.741821
2025-10-30,674.244019
2025-10-31,676.455688
2025-11-03,677.725159
2025-11-04,669.691650
2025-11-05,672.012451
2025-11-06,664.802246
2025-11-07,665.456726
2025-11-10,675.840698
2025-11-11,677.387939
2025-11-12,677.764771
2025-11-13,666.518005
2025-11-14,666.408813
2025-11-17,660.200317
2025-11-18,654.656250
2025-11-19,657.185303
2025-11-20,647.168335
2025-11-21,653.614868
2025-11-24,663.235168
2025-11-25,669.473511
2025-11-26,674.095215
2025-11-28,677.774719
2025-12-01,674.680359
2025-12-02,675.929993
2025-12-03,678.270630
2025-12-04,678.766541
2025-12-05,680.055786
2025-12-08,678.012756
2025-12-09,677.427612
2025-12-10,681.920349
2025-12-11,683.507202
2025-12-12,676.158142
2025-12-15,675.136597
2025-12-16,673.291870
2025-12-17,665.883240
2025-12-18,670.911499
2025-12-19,676.992310
2025-12-22,681.209839
2025-12-23,684.323303
2025-12-24,686.730530
2025-12-26,686.660889
2025-12-29,684.213867
2025-12-30,683.378296
2025-12-31,678.315247
2026-01-02,679.558594
2026-01-05,684.084595
2026-01-06,688.152954
2026-01-07,685.934753
2026-01-08,685.865112
2026-01-09,690.401001
2026-01-12,691.485229
2026-01-13,690.102600
2026-01-14,686.710571
2026-01-15,688.580688
2026-01-16,688.003723
2026-01-20,673.998169
2026-01-21,681.776855
2026-01-22,685.337952
2026-01-23,685.586548
2026-01-26,689.068115
2026-01-27,691.813477
2026-01-28,691.743835
2026-01-29,690.371155
2026-01-30,688.312134
2026-02-02,691.733887
2026-02-03,685.885010
2026-02-04,682.562683
2026-02-05,674.037964
2026-02-06,686.969238
2026-02-09,690.281616
2026-02-10,688.461304
2026-02-11,688.302185
2026-02-12,677.668701
2026-02-13,678.146118
2026-02-17,679.240295
2026-02-18,682.662109
2026-02-19,680.861694
2026-02-20,685.785583
2026-02-23,678.782776
2026-02-24,683.716492
2026-02-25,689.485901
2026-02-26,685.656189
2026-02-27,682.363708
2026-03-02,682.751648
2026-03-03,676.733704
2026-03-04,681.508301
2026-03-05,677.708435
2026-03-06,668.825623
2026-03-09,674.684509
2026-03-10,673.600281
2026-03-11,672.754822
2026-03-12,662.539063
2026-03-13,658.789001
2026-03-16,665.493408
2026-03-17,667.244019
2026-03-18,657.933533
2026-03-19,656.312134
2026-03-20,646.903442
2026-03-23,653.695923
2026-03-24,651.501587
2026-03-25,655.132202
2026-03-26,643.432373
2026-03-27,632.460632
2026-03-30,630.346069
2026-03-31,648.668884
2026-04-01,653.556274
2026-04-02,654.144775
2026-04-06,657.236816
2026-04-07,657.526001
2026-04-08,674.272949
2026-04-09,678.162842
2026-04-10,677.714050
2026-04-13,684.336975
2026-04-14,692.675537
2026-04-15,698.141418
2026-04-16,699.856995
2026-04-17,708.315247
2026-04-20,706.898804
2026-04-21,702.270813
2026-04-22,709.382507
2026-04-23,706.629578
2026-04-24,712.105469
2026-04-27,713.332275
2026-04-28,709.861206
2026-04-29,709.751526
2026-04-30,716.813293
2026-05-01,718.798218
2026-05-04,716.164978
2026-05-05,721.910217
2026-05-06,731.944336
2026-05-07,729.700134
2026-05-08,735.724609
2026-05-11,737.400269
2026-05-12,736.283142
2026-05-13,740.402527
2026-05-14,746.247498
2026-05-15,737.270630
2026-05-18,736.751953
2026-05-19,731.844604
2026-05-20,739.345276
2026-05-21,740.811462
2026-05-22,743.723999
2026-05-26,748.661316
2026-05-27,748.531616
2026-05-28,752.660950
2026-05-29,754.536133
2026-06-01,756.590820
2026-06-02,757.618225
2026-06-03,752.301880
2026-06-04,755.144592
2026-06-05,735.654785
2026-06-08,737.320435
2026-06-09,735.156067
2026-06-10,723.565918
2026-06-11,735.864258
2026-06-12,739.843994
2026-06-15,752.890381
2026-06-16,748.401978
2026-06-17,739.056030
2026-06-18,746.739990
2026-06-22,744.390015
